date 	 GPStime 	 temp 	 humidtiy 	 pression 	 windSpeed 	 windDir 	 lat 	 lng 	 alt 	 nbtSat 	 isValid 	 tCpu 	 tSens 	 battery 	 fan 
110621	487265.00	26.04	43.77	968.04	0.00	RC	46.521499	6.567180	396.20	7	1	25.34	24.70	4.01	0
110621	487266.00	26.06	43.60	968.05	0.00	RC	46.521498	6.567179	396.00	7	1	25.37	24.71	4.01	0
110621	487267.00	26.06	43.46	968.06	0.00	RC	46.521498	6.567179	395.80	7	1	25.37	24.69	4.01	0
110621	487268.00	26.04	43.32	968.03	0.00	RC	46.521498	6.567179	395.70	7	1	25.37	24.71	4.02	0
110621	487269.00	26.06	43.13	967.99	0.00	RC	46.521497	6.567178	395.60	7	1	25.37	24.67	4.02	0
110621	487270.00	26.04	42.96	967.99	0.00	RC	46.521497	6.567177	395.50	7	1	25.37	24.69	4.02	0
110621	487271.00	26.04	42.84	967.99	0.00	RC	46.521496	6.567176	395.60	7	1	25.37	24.75	4.02	0
110621	487272.00	26.04	42.80	968.02	0.00	RC	46.521496	6.567176	395.70	7	1	25.37	24.75	4.02	0
110621	487273.00	26.04	42.80	968.06	0.00	RC	46.521497	6.567176	395.60	7	1	25.37	24.75	4.01	0
110621	487274.00	26.08	42.70	968.05	0.00	RC	46.521497	6.567175	395.50	7	1	25.37	24.75	4.01	0
110621	487275.00	26.06	42.83	968.02	0.00	RC	46.521497	6.567175	395.40	7	1	25.37	24.74	4.01	0
110621	487276.00	26.08	42.83	968.03	0.00	RC	46.521497	6.567175	395.40	7	1	25.37	24.74	4.01	0
110621	487277.00	26.06	42.84	968.02	0.00	RC	46.521497	6.567175	395.40	7	1	25.37	24.75	4.01	0
110621	487278.00	26.08	42.85	968.01	0.00	RC	46.521498	6.567176	395.50	7	1	25.37	24.75	4.02	0
110621	487279.00	26.10	42.72	968.01	0.00	RC	46.521498	6.567176	395.60	7	1	25.37	24.74	4.02	0
110621	487280.00	26.08	42.62	968.05	0.00	RC	46.521498	6.567177	395.70	7	1	25.39	24.74	4.01	0
110621	487281.00	26.06	42.46	968.06	0.00	RC	46.521498	6.567178	395.90	7	1	25.45	24.75	4.01	0
110621	487282.00	26.08	42.45	968.06	0.00	RC	46.521498	6.567179	396.00	7	1	25.50	24.75	4.01	0
110621	487283.00	26.09	42.48	968.05	0.00	RC	46.521498	6.567179	396.10	7	1	25.50	24.75	4.02	0
110621	487284.00	26.10	42.47	968.04	0.00	RC	46.521498	6.567179	396.10	7	1	25.50	24.75	4.01	0
110621	487285.00	26.10	42.47	968.09	0.00	RC	46.521497	6.567179	396.00	7	1	25.50	24.75	4.01	0
110621	487285.00	26.10	42.47	968.07	0.00	RC	46.521497	6.567179	395.90	8	1	25.50	24.75	4.01	0
110621	487286.00	26.09	42.50	968.02	0.00	RC	46.521496	6.567179	395.90	8	1	25.50	24.75	4.03	0
110621	487287.00	26.09	42.55	968.05	0.00	RC	46.521496	6.567178	395.80	8	1	25.50	24.75	4.02	0
110621	487288.00	26.13	42.42	968.09	0.00	RC	46.521495	6.567178	395.60	8	1	25.50	24.75	4.03	0
110621	487289.00	26.13	42.34	968.04	0.00	RC	46.521495	6.567177	395.50	8	1	25.50	24.75	4.02	0
110621	487290.00	26.12	42.28	968.03	0.00	RC	46.521495	6.567177	395.50	8	1	25.50	24.75	4.03	0
110621	487291.00	26.13	42.23	968.08	0.00	RC	46.521494	6.567176	395.70	8	1	25.50	24.75	4.03	0
110621	487292.00	26.12	42.11	968.08	0.00	RC	46.521494	6.567176	395.60	8	1	25.50	24.75	4.03	0
110621	487293.00	26.10	42.10	968.07	0.00	RC	46.521495	6.567174	395.30	8	1	25.50	24.75	4.03	0
110621	487294.00	26.12	42.04	968.09	0.00	RC	46.521495	6.567173	395.00	8	1	25.50	24.75	4.03	0
110621	487295.00	26.13	42.07	968.05	0.00	RC	46.521496	6.567172	394.70	8	1	25.50	24.75	4.03	0
110621	487296.00	26.15	42.14	968.04	0.00	RC	46.521497	6.567172	394.50	8	1	25.50	24.75	4.03	0
110621	487297.00	26.16	41.99	968.06	0.00	RC	46.521498	6.567171	394.30	8	1	25.54	24.75	4.02	0
110621	487299.00	26.15	41.93	968.05	0.00	RC	46.521499	6.567169	394.20	8	1	25.60	24.75	4.03	0
110621	487300.00	26.13	41.92	968.05	0.00	RC	46.521500	6.567169	394.20	8	1	25.62	24.75	4.02	0
110621	487301.00	26.10	42.02	968.02	0.00	RC	46.521501	6.567169	394.20	8	1	25.62	24.75	4.03	0
110621	487302.00	26.12	41.92	968.04	0.00	RC	46.521501	6.567168	394.20	8	1	25.62	24.75	4.02	0
110621	487303.00	26.16	41.88	968.01	0.00	RC	46.521502	6.567168	394.10	8	1	25.62	24.75	4.03	0
110621	487304.00	26.13	41.93	967.97	0.00	RC	46.521503	6.567167	394.10	9	1	25.62	24.77	4.02	0
110621	487305.00	26.16	42.06	968.03	0.00	RC	46.521503	6.567167	394.00	9	1	25.62	24.79	4.03	0
110621	487306.00	26.15	42.19	968.02	0.00	RC	46.521504	6.567166	394.00	9	1	25.62	24.82	4.02	0
110621	487307.00	26.15	42.37	968.00	0.00	RC	46.521505	6.567166	393.90	9	1	25.62	24.87	4.03	0
110621	487308.00	26.16	42.30	968.03	0.00	RC	46.521506	6.567166	393.80	9	1	25.62	24.86	4.03	0
110621	487309.00	26.15	42.24	968.03	0.00	RC	46.521506	6.567165	393.80	9	1	25.62	24.84	4.03	0
110621	487310.00	26.17	42.19	968.01	0.00	RC	46.521507	6.567165	393.70	9	1	25.62	24.84	4.02	0
110621	487311.00	26.17	41.99	968.02	0.00	RC	46.521507	6.567165	393.60	9	1	25.62	24.86	4.03	0
110621	487312.00	26.17	41.90	968.06	0.00	RC	46.521508	6.567165	393.60	9	1	25.62	24.87	4.02	0
110621	487313.00	26.15	41.77	968.04	0.00	RC	46.521509	6.567166	393.50	9	1	25.62	24.87	4.02	0
110621	487314.00	26.16	41.73	967.97	0.00	RC	46.521510	6.567166	393.40	9	1	25.62	24.87	4.02	0
110621	487315.00	26.17	41.69	967.99	0.00	RC	46.521510	6.567166	393.40	9	1	25.62	24.87	4.03	0
110621	487316.00	26.19	41.75	968.01	0.00	RC	46.521511	6.567165	393.20	9	1	25.68	24.87	4.02	0
110621	487317.00	26.19	41.80	967.98	0.00	RC	46.521512	6.567165	392.90	9	1	25.74	24.87	4.03	0
110621	487318.00	26.19	41.83	968.03	0.00	RC	46.521512	6.567166	392.80	9	1	25.75	24.87	4.03	0
110621	487319.00	26.19	41.93	968.04	0.00	RC	46.521513	6.567167	392.80	8	1	25.75	24.87	4.03	0
110621	487320.00	26.21	41.93	968.00	0.00	RC	46.521516	6.567170	393.20	8	1	25.75	24.87	4.03	0
110621	487321.00	26.19	42.00	968.01	0.00	RC	46.521517	6.567168	393.50	9	1	25.75	24.87	4.03	0
110621	487322.00	26.20	42.23	968.02	0.00	RC	46.521517	6.567164	393.90	9	1	25.75	24.87	4.03	0
110621	487323.00	26.20	42.25	967.98	0.00	RC	46.521518	6.567164	393.90	9	1	25.75	24.87	4.02	0
110621	487324.00	26.20	42.34	967.98	0.00	RC	46.521518	6.567164	394.00	9	1	25.75	24.87	4.02	0
110621	487325.00	26.20	42.44	968.01	0.00	RC	46.521518	6.567161	394.20	9	1	25.75	24.87	4.02	0
110621	487326.00	26.23	42.48	968.02	0.00	RC	46.521516	6.567158	394.70	9	1	25.75	24.87	4.02	0
110621	487327.00	26.21	42.57	968.03	0.00	RC	46.521515	6.567159	394.10	9	1	25.75	24.87	4.03	0
110621	487328.00	26.23	42.59	967.98	0.00	RC	46.521522	6.567162	394.30	9	1	25.75	24.87	4.03	0
110621	487329.00	26.23	42.69	967.91	0.00	RC	46.521521	6.567167	394.40	9	1	25.75	24.87	4.03	0
110621	487330.00	26.23	42.75	967.91	0.00	RC	46.521520	6.567174	394.10	9	1	25.75	24.90	4.03	0
110621	487331.00	26.27	42.73	967.84	0.00	RC	46.521518	6.567178	394.60	9	1	25.75	24.96	4.03	0
110621	487332.00	26.30	42.66	967.80	0.00	RC	46.521519	6.567187	394.10	9	1	25.75	25.02	4.02	0
110621	487333.00	26.33	42.69	967.90	0.00	RC	46.521522	6.567194	394.10	9	1	25.75	25.09	4.03	0
